Rank,Player,Age,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM
1,Nikola Jokić,27,DEN,74,48,11,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.810,15.2,0.296,9.8,13.7
2,Giannis Antetokounmpo,27,MIL,67,51,7,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,7.4,11.2
3,Joel Embiid,28,PHI,68,51,8,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252,6.5,9.2
4,Chris Paul,36,PHO,65,64,1,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.210,4.0,5.4
5,Luka Dončić,23,DAL,65,52,5,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,5.9,8.2
6,James Harden,32,PHI,65,51,8,37.2,22.0,7.7,10.3,1.3,0.6,0.410,0.330,0.877,7.6,0.152,3.7,4.1
7,Devin Booker,25,PHO,68,64,1,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,3.6,4.1
8,Rudy Gobert,29,UTA,66,49,9,32.1,15.6,14.7,1.1,0.7,2.1,0.713,0,0.690,11.7,0.264,3.6,4.6
9,Trae Young,23,ATL,76,43,16,34.9,28.4,3.7,9.7,0.9,0.1,0.460,0.382,0.904,10.0,0.181,4.8,5.2
10,Jayson Tatum,24,BOS,76,51,6,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169,4.8,4.9